topic,num_window_papers,num_target_papers,top_keywords,top_influence_scores
Human-Computer Interaction,0,2,"[""interface"", ""human behavior"", ""query optimization execution plans"", ""usability"", ""plans"", ""execution plans"", ""software engineering technology"", ""user"", ""behavior"", ""errors""]","[0.6222, 0.0538, 0.0, 0.0, 0.0, 0.0, -0.0072, -0.0151, -0.0261, -0.6276]"
Information Retrieval,20,12,"[""retrieval-augmented generation"", ""retrieval"", ""generation"", ""query optimization"", ""structures"", ""retrieval natural"", ""retrieval natural language"", ""nlp neural"", ""introduction"", ""index"", ""retrieval-augmented generation language"", ""pre-training machine"", ""language pre-training machine"", ""search mathematics"", ""architecture search mathematics""]","[2.2029, 1.3805, 1.271, 0.832, 0.7585, 0.7194, 0.7194, 0.523, 0.4738, 0.4688, 0.4569, 0.4266, 0.4266, 0.4216, 0.4216]"
Kernel Methods / SVM,8,0,"[""svm"", ""support vector machine"", ""academic"", ""physics series"", ""classifier medicine"", ""medicine comput"", ""tumor segmentation"", ""skin cancer"", ""intrusion"", ""intrusion detection"", ""diabetes"", ""classification"", ""random forest"", ""segmentation deep convolutional"", ""tumor segmentation deep""]","[1.0988, 1.033, 0.732, 0.3848, 0.3019, 0.2834, 0.2834, 0.2308, 0.1535, 0.1091, 0.0951, 0.0823, 0.0739, 0.0569, 0.054]"
Large Language Models,140,38,"[""llm"", ""language"", ""large"", ""foundation"", ""representations"", ""attention mechanism"", ""evaluating"", ""prompting"", ""language machine"", ""neural processing"", ""pretraining"", ""language neural processing"", ""language neural"", ""prompt"", ""pre-trained language""]","[2.0052, 1.6803, 1.6786, 1.3663, 1.2887, 1.1866, 1.1038, 1.0899, 1.0846, 1.057, 0.9897, 0.9541, 0.9541, 0.9449, 0.9426]"
Machine Learning,2390,334,"[""neural processing"", ""representations"", ""llm"", ""diffusion"", ""attention mechanism"", ""large"", ""vision"", ""machine"", ""natural language processing"", ""language"", ""query optimization"", ""language processing"", ""reinforcement"", ""feedback"", ""retrieval-augmented generation""]","[2.3669, 2.3632, 2.1674, 2.1398, 2.1085, 2.0418, 1.9681, 1.9434, 1.9241, 1.798, 1.7034, 1.6802, 1.6592, 1.6564, 1.5849]"
Natural Language Processing,681,82,"[""llm"", ""natural language processing"", ""language"", ""large"", ""language processing"", ""retrieval-augmented generation"", ""foundation"", ""representations"", ""natural language"", ""generation"", ""neural processing"", ""nlp"", ""evaluating"", ""annual association computational"", ""natural""]","[2.5467, 2.3027, 2.2295, 2.0955, 2.0319, 1.7767, 1.7032, 1.6864, 1.6208, 1.6018, 1.5994, 1.535, 1.4894, 1.4734, 1.4238]"
Optimization,79,54,"[""optimization"", ""query optimization"", ""query optimization optimizer"", ""learned query optimization"", ""hyperparameter optimization"", ""adam"", ""optimization engineering"", ""optimization mathematics"", ""making learned"", ""making learned query optimization"", ""momentum"", ""rate"", ""query optimization optimizer vldb"", ""optimizer vldb endowment"", ""optimizer vldb""]","[1.9251, 1.8366, 1.3005, 1.1368, 1.063, 1.0192, 0.9197, 0.9139, 0.8931, 0.8931, 0.8383, 0.8322, 0.8261, 0.8261, 0.8261]"
Programming Languages,3,1,"[""code optimization taco"", ""optimization taco"", ""program"", ""synthesis"", ""llm"", ""large"", ""taco"", ""architecture code"", ""code optimization"", ""processing mathematics artificial"", ""neural network tree"", ""network tree"", ""processing mathematics"", ""language processing mathematics"", ""language""]","[0.5829, 0.5829, 0.5086, 0.4477, 0.2708, 0.1579, 0.072, 0.072, 0.072, 0.0478, 0.0148, 0.0148, -0.0297, -0.0297, -0.1752]"
Recommender Systems,4,0,"[""parallelization"", ""recommendation"", ""spark"", ""disease patients"", ""knowledge-based"", ""educational"", ""matrix"", ""attack detection"", ""chronic"", ""applying"", ""backdoor"", ""machine technology icit"", ""machine technology"", ""icit"", ""technology icit""]","[1.0095, 0.9076, 0.6903, 0.3522, 0.3031, 0.1235, 0.0966, 0.081, -0.0348, -0.0595, -0.1191, -0.1781, -0.2255, -0.263, -0.263]"
Reinforcement Learning,54,35,"[""reinforcement"", ""reinforcement human"", ""deep reinforcement"", ""reinforcement human feedback"", ""reinforcement medicine nature"", ""reinforcement medicine"", ""offline"", ""deep reinforcement medicine"", ""human feedback"", ""reinforcement neural"", ""reinforcement neural processing"", ""feedback"", ""reinforcement machine"", ""online reinforcement"", ""reinforcement mathematics""]","[1.7102, 1.3387, 1.3219, 1.1867, 1.1566, 1.0712, 1.0258, 1.0052, 0.9957, 0.9682, 0.9682, 0.9388, 0.9349, 0.9327, 0.8995]"
Robotics and Control,75,9,"[""robot"", ""medicine robotics"", ""locomotion"", ""robotic"", ""quadrupedal"", ""bipedal"", ""manipulation"", ""robotic manipulation"", ""robotic control"", ""detection autonomous driving"", ""control robot"", ""driving vision pattern"", ""autonomous driving vision"", ""object detection autonomous"", ""autonomous driving""]","[1.8251, 1.5929, 1.4643, 1.2228, 1.1211, 1.039, 0.9841, 0.9428, 0.9169, 0.9024, 0.8987, 0.8844, 0.877, 0.8476, 0.8261]"
Security and Privacy,103,34,"[""network intrusion detection"", ""malware"", ""network intrusion"", ""intrusion detection"", ""usenix"", ""forensics security"", ""usenix security"", ""deep network intrusion"", ""malware detection"", ""forensics"", ""privacy"", ""threats"", ""security privacy"", ""countermeasures"", ""differentially private machine""]","[1.9982, 1.4412, 1.425, 1.3147, 1.2825, 1.2324, 1.1988, 1.1246, 1.0758, 1.0705, 0.9938, 0.8903, 0.8827, 0.8685, 0.8576]"
Software Engineering,106,10,"[""code"", ""software engineering"", ""code generation"", ""machine systematic"", ""quantum software engineering"", ""verification"", ""testing software engineering"", ""reinforcement software engineering"", ""reinforcement software engineering testing"", ""metamorphic"", ""metamorphic testing"", ""systematic medicine"", ""empirical software engineering"", ""processing systematic medicine"", ""testing""]","[1.6669, 1.531, 1.4609, 1.133, 1.0609, 0.9391, 0.8572, 0.785, 0.785, 0.7624, 0.7624, 0.701, 0.6984, 0.6954, 0.6906]"
Statistical Learning,15,4,"[""bayesian"", ""denoising diffusion"", ""diffusion probabilistic mathematics"", ""diffusion probabilistic"", ""probabilistic mathematics"", ""bayes"", ""active"", ""variational"", ""out-of-distribution detection"", ""uncertainties"", ""detection mathematics neural"", ""representing"", ""deep vision"", ""vision neural"", ""vision neural processing""]","[1.4192, 0.8612, 0.6126, 0.6126, 0.6126, 0.5169, 0.5148, 0.3061, 0.2867, 0.2809, 0.274, 0.2666, 0.2537, 0.2339, 0.2339]"
Theory and Algorithms,166,40,"[""machine"", ""machine remote"", ""machine remote sensing"", ""machine predicting"", ""ensemble machine"", ""soil"", ""optimization engineering"", ""benchmarking"", ""malware detection"", ""preprocessing"", ""uav"", ""genetic"", ""scheduling cloud"", ""scheduling cloud computing"", ""malware""]","[1.5023, 1.2577, 1.2577, 1.1708, 1.137, 1.0972, 1.0244, 0.9978, 0.9931, 0.9878, 0.9488, 0.908, 0.9004, 0.8725, 0.871]"
